Designator,Mid X,Mid Y,Rotation,Layer
S1,-3.5375,-55.8625,0.0,bottom
S10,167.9125,-55.8625,0.0,bottom
S11,186.9625,-55.8625,0.0,bottom
S12,206.0125,-55.8625,0.0,bottom
S13,225.0625,-55.8625,0.0,bottom
S14,253.6625,-55.85,0.0,bottom
S15,1.225,-74.9125,0.0,bottom
S16,25.0375,-74.9125,0.0,bottom
S17,44.0875,-74.9125,0.0,bottom
S18,63.1375,-74.9125,0.0,bottom
S19,82.1875,-74.9125,0.0,bottom
S2,15.5125,-55.8625,0.0,bottom
S20,101.2375,-74.9125,0.0,bottom
S21,120.2875,-74.9125,0.0,bottom
S22,139.3375,-74.9125,0.0,bottom
S23,158.3875,-74.9125,0.0,bottom
S24,177.4375,-74.9125,0.0,bottom
S25,196.4875,-74.9125,0.0,bottom
S26,215.5375,-74.9125,0.0,bottom
S27,234.5875,-74.9125,0.0,bottom
S28,258.4,-74.9125,0.0,bottom
S3,34.5625,-55.8625,0.0,bottom
S30,3.60625,-93.9625,0.0,bottom
S31,29.8,-93.9625,0.0,bottom
S32,48.85,-93.9625,0.0,bottom
S33,67.9,-93.9625,0.0,bottom
S34,86.95,-93.9625,0.0,bottom
S35,106.0,-93.9625,0.0,bottom
S36,125.05,-93.9625,0.0,bottom
S37,144.1,-93.9625,0.0,bottom
S38,163.15,-93.9625,0.0,bottom
S39,182.2,-93.9625,0.0,bottom
S4,53.6125,-55.8625,0.0,bottom
S40,201.25,-93.9625,0.0,bottom
S41,220.3,-93.9625,0.0,bottom
S42,251.25625,-93.9625,0.0,bottom
S43,289.1875,-93.9125,0.0,bottom
S44,8.36875,-113.0125,0.0,bottom
S45,39.325,-113.0125,0.0,bottom
S46,58.375,-113.0125,0.0,bottom
S47,77.425,-113.0125,0.0,bottom
S48,96.475,-113.0125,0.0,bottom
S49,115.525,-113.0125,0.0,bottom
S5,72.6625,-55.8625,0.0,bottom
S50,134.575,-113.0125,0.0,bottom
S51,153.625,-113.0125,0.0,bottom
S52,172.675,-113.0125,0.0,bottom
S53,191.725,-113.0125,0.0,bottom
S54,210.775,-113.0125,0.0,bottom
S55,236.96875,-113.0125,0.0,bottom
S56,263.1625,-113.0125,0.0,bottom
S57,289.2125,-112.95,0.0,bottom
S58,-1.15625,-132.0625,0.0,bottom
S59,22.65625,-132.0625,0.0,bottom
S6,91.7125,-55.8625,0.0,bottom
S60,46.46875,-132.0625,0.0,bottom
S61,117.90625,-132.0625,0.0,bottom
S62,189.34375,-132.0625,0.0,bottom
S63,213.15625,-132.0625,0.0,bottom
S64,244.1125,-132.0625,0.0,bottom
S65,263.1625,-132.0625,0.0,bottom
S66,282.2125,-132.0625,0.0,bottom
S7,110.7625,-55.8625,0.0,bottom
S71,308.2375,-93.9125,0.0,bottom
S72,308.2625,-112.95,0.0,bottom
S8,129.8125,-55.8625,0.0,bottom
S9,148.8625,-55.8625,0.0,bottom
SW1,102.2625,-130.09228,0.0,bottom
SW2,159.0625,-129.45,0.0,bottom
U1,283.2,-65.7,180.0,bottom
U2,270.8,-82.8,0.0,bottom
U3,-18.6375,-80.75,205.0,top
U4,85.75,-135.2,270.0,bottom
U5,275.250775,-67.4,0.0,bottom
U6,145.6625,-133.449999,90.0,bottom
U7,288.3,-59.1,90.0,bottom
